#t	vest	vdin	vexp
  0.00000000000000	 12.18245400565941	 12.18245400565941	 12.28000000000000f
  0.00000000000000	 11.90268211991510	 12.01573992273219	 12.00000000000000f
  0.25000000000000	 11.90248273632087	 12.01437386081243	 11.99500000000000f
  0.50000000000000	 11.90310368169079	 12.01330303797673	 12.04000000000000f
  0.75000000000000	 11.90281860237718	 12.01193751381195	 12.03500000000000f
  1.00000000000000	 11.90266294098370	 12.01062775701231	 12.03500000000000f
  1.25000000000000	 11.90250728162576	 12.00932994711317	 12.03500000000000f
  1.50000000000000	 11.90230844717651	 12.00802905485250	 12.03000000000000f
  1.75000000000000	 11.90215275339404	 12.00675443176561	 12.03000000000000f
  2.00000000000000	 11.90199706164804	 12.00549139153926	 12.03000000000000f
  2.25000000000000	 11.90175501768486	 12.00421000307255	 12.02500000000000f
  2.50000000000000	 11.90159925302462	 12.00296909554376	 12.02500000000000f
  2.75000000000000	 11.90144349040279	 12.00173942112059	 12.02500000000000f
  3.00000000000000	 11.90128772981935	 12.00052086353999	 12.02500000000000f
  3.25000000000000	 11.90100243989384	 11.99926859091799	 12.02000000000000f
  3.50000000000000	 11.90084656791472	 11.99807091112713	 12.02000000000000f
  3.75000000000000	 11.90069069797695	 11.99688401584384	 12.02000000000000f
  4.00000000000000	 11.90053483008050	 11.99570779344988	 12.02000000000000f
  4.25000000000000	 11.90037896422535	 11.99454213348269	 12.01500000000000f
  4.50000000000000	 11.90017992328466	 11.99337202101520	 12.01500000000000f
  4.75000000000000	 11.90002402302436	 11.99222682177709	 12.01500000000000f
  5.00000000000000	 11.89986812480629	 11.99109186348686	 12.01500000000000f
  5.25000000000000	 11.89971222863042	 11.98996704015424	 12.01500000000000f
  5.50000000000000	 11.89955633449674	 11.98885224688636	 12.01500000000000f
  5.75000000000000	 11.89931408815155	 11.98771756865989	 12.01000000000000f
  6.00000000000000	 11.89915812113277	 11.98662185058205	 12.01000000000000f
  6.25000000000000	 11.89900215615812	 11.98553586054914	 12.01000000000000f
  6.50000000000000	 11.89880301610075	 11.98444459227315	 12.01000000000000f
  6.75000000000000	 11.89869019385839	 11.98339232564656	 12.01000000000000f
  7.00000000000000	 11.89849105788963	 11.98232001731362	 12.01000000000000f
  7.25000000000000	 11.89829188548320	 11.98125670319201	 12.00500000000000f
  7.50000000000000	 11.89813585376771	 11.98021719541038	 12.00500000000000f
  7.75000000000000	 11.89797982409822	 11.97918683314103	 12.00500000000000f
  8.00000000000000	 11.89782379647470	 11.97816552173554	 12.00500000000000f
  8.25000000000000	 11.89766777089713	 11.97715316752545	 12.00500000000000f
