#iout	eta	eta_sim
  0.00000000000000	  0.00000000000000	  3.20147984012323
  0.10000000000000	 29.00000000000000	 25.51538145116693
  0.20000000000000	 44.00000000000000	 41.08259589848545
  0.30000000000000	 53.00000000000000	 51.94300793547604
  0.40000000000000	 59.00000000000000	 59.51973593728800
  0.50000000000000	 63.00000000000000	 64.80561339920324
  0.60000000000000	 67.00000000000000	 68.49328709366627
  0.70000000000000	 69.00000000000000	 71.06597958886977
  0.80000000000000	 71.00000000000000	 72.86080939846336
  0.90000000000000	 72.00000000000000	 74.11296605978677
  1.00000000000000	 74.00000000000000	 74.98652872077891
  1.10000000000000	 74.00000000000000	 75.59596661800904
  1.20000000000000	 75.00000000000000	 76.02113880904393
  1.30000000000000	 76.00000000000000	 76.31775868262089
  1.40000000000000	 77.00000000000000	 76.52469448711614
  1.50000000000000	 77.00000000000000	 76.66906251838016
  1.60000000000000	 77.00000000000000	 76.76978036419662
  1.70000000000000	 78.00000000000000	 76.84004581269713
  1.80000000000000	 78.00000000000000	 76.88906625403956
  1.90000000000000	 78.00000000000000	 76.92326519136489
  2.00000000000000	 78.00000000000000	 76.94712395889438
  2.10000000000000	 78.00000000000000	 76.96376894357945
  2.20000000000000	 78.00000000000000	 76.97538125820654
  2.30000000000000	 78.00000000000000	 76.98348254838790
  2.40000000000000	 78.00000000000000	 76.98913438479694
