#t	impx	ips	ibat	
  0.00000000000000	  2.94595762125332	  2.75250003370638	  0.19345758754695
  0.01111625752663	  2.92090266672696	  2.94977044817570	 -0.02886778144874
  0.02223251505327	  2.94500016479388	  2.84845669144346	  0.09654347335042
  0.03334877257990	  2.94774147535625	  2.52261281776429	  0.42512865759195
  0.04446503010653	  2.94796779116906	  2.88615872334425	  0.06180906782481
  0.05558128763316	  2.91951799612137	  2.94434016911319	 -0.02482217299182
  0.06669754515980	  2.94696263717181	  2.70473848129273	  0.24222415587907
  0.07781380268643	  2.94836464967852	  2.49032784615062	  0.45803680352790
  0.08893006021306	  1.11382479671423	  2.26841172027164	 -1.15458692355741
  0.10004631773969	  1.11015941612913	  1.87298928902955	 -0.76282987290042
  0.11116257526633	  1.38935766317920	  1.38935766317920	  0.00000000000000
  0.12227883279296	  1.84711947846466	  1.84711947846466	  0.00000000000000
  0.13339509031959	  2.24215518937864	  2.24215518937864	  0.00000000000000
  0.14451134784623	  2.47316344429761	  2.47299671587425	  0.00016672842336
  0.15562760537286	  2.68244459584460	  2.68210930277603	  0.00033529306857
  0.16674386289949	  2.97172436697191	  2.97111019695602	  0.00061417001590
  0.17786012042612	  2.94659323650366	  2.94600509856733	  0.00058813793633
  0.18897637795276	  2.56430807780955	  2.56430807780955	  0.00000000000000
  0.20009263547939	  2.74274997736951	  2.74274997736951	  0.00000000000000
  0.21120889300602	  2.93762490243014	  2.93762490243014	  0.00000000000000
  0.22232515053265	  2.79459265852838	  2.79459265852838	  0.00000000000000
  0.23344140805929	  2.36560374564434	  2.35249707967746	  0.01310666596688
  0.24455766558592	  2.36590645240942	  2.20128453747948	  0.16462191492994
  0.25567392311255	  2.36722442822895	  1.82340535050679	  0.54381907772216
  0.26679018063918	  2.36971839657659	  1.27209551826473	  1.09762287831186
  0.27790643816582	  2.37262117147915	  0.93527391819635	  1.43734725328280
  0.28902269569245	  2.37322684378461	  1.45347839896709	  0.91974844481752
  0.30013895321908	  2.37045747496975	  1.85813947184757	  0.51231800312218
  0.31125521074572	  2.37035004927548	  2.06862633333994	  0.30172371593554
  0.32237146827235	  2.36929933274706	  2.28906585469741	  0.08023347804964
  0.33348772579898	  2.34772843024581	  2.58200610894279	 -0.23427767869698
  0.34460398332561	  2.34651714738412	  2.52686834665667	 -0.18035119927254
  0.35572024085225	  1.11408387785792	  2.11894273340154	 -1.00485885554362
  0.36683649837888	  1.11159987723938	  2.16064116797272	 -1.04904129073334
  0.37795275590551	  1.11230586279167	  2.40262663793894	 -1.29032077514727
  0.38906901343214	  1.11063106401346	  2.28907788485076	 -1.17844682083729
  0.40018527095878	  1.71971759172284	  1.71971759172284	  0.00000000000000
  0.41130152848541	  1.49916274930400	  1.49916274930400	  0.00000000000000
  0.42241778601204	  1.20259073024375	  1.20259073024375	  0.00000000000000
  0.43353404353868	  1.12417874519093	  0.71440125167128	  0.40977749351964
  0.44465030106531	  1.12518694438074	  0.00000000000000	  1.12518694438074
  0.45576655859194	  1.12654214597514	  0.45980755852794	  0.66673458744720
  0.46688281611857	  1.12445896267074	  0.99980678505250	  0.12465217761824
