#t	fxm	fym	fzm	fzp
  0.4934630762	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5005125487	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5075620212	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5146114937	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5216609663	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5287104388	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5357599113	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5428093838	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5498588563	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5569083288	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5639578014	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5710072739	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5780567464	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5851062189	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5921556914	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5992051639	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6062546365	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6133041090	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6203535815	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6274030540	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6344525265	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6415019990	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6485514716	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6556009441	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6626504166	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6696998891	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6767493616	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6837988341	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.6908483067	  0.6568915153	  0.0000000000	  0.3690483751	  0.0000000000
  0.6978977792	  0.8661796000	  0.0000000000	  0.3416763404	  0.0000000000
  0.7049472517	  0.9494973919	  0.0000000000	  0.3136340865	  0.0000000000
  0.7119967242	  0.8901980263	  0.3554374770	  0.2849766200	  0.0000000000
  0.7190461967	  0.6934803085	  0.6735516352	  0.2557601542	  0.0000000000
  0.7260956693	  0.3864348477	  0.8941885277	  0.2260419991	  0.0000000000
  0.7331451418	  0.0000000000	  0.9805206460	  0.1958804487	  0.0000000000
  0.7401946143	  0.0000000000	  0.9160971149	  0.1653346667	  0.0000000000
  0.7472440868	  0.0000000000	  0.7081742015	  0.1344645705	  0.0000000000
  0.7542935593	  0.0000000000	  0.3872345815	  0.1033307138	  0.0000000000
  0.7613430318	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.7683925044	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.7754419769	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.7824914494	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.7895409219	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.7965903944	  0.4131962536	  0.0000000000	  0.0000000000	  0.0000000000
  0.8036398669	  0.7334203518	  0.0000000000	  0.0000000000	  0.1168267497
  0.8106893395	  0.9337694833	  0.0000000000	  0.0000000000	  0.1478539789
  0.8177388120	  0.9815542574	  0.0000000000	  0.0000000000	  0.1785911835
  0.8247882845	  0.8693598318	  0.4478187680	  0.0000000000	  0.2089780705
  0.8318377570	  0.6164515075	  0.7502586425	  0.0000000000	  0.2389550340
  0.8388872295	  0.2656355458	  0.9259401860	  0.0000000000	  0.2684632725
  0.8459367020	  0.0000000000	  0.9466606890	  0.0000000000	  0.2974449038
  0.8529861746	  0.0000000000	  0.8104585620	  0.0000000000	  0.3258430785
  0.8600356471	  0.0000000000	  0.5419428734	  0.0000000000	  0.3536020919
  0.8670851196	  0.0000000000	  0.1880358611	  0.0000000000	  0.3806674930
  0.8741345921	  0.0000000000	  0.0000000000	  0.0000000000	  0.4069861913
  0.8811840646	  0.0000000000	  0.0000000000	  0.0000000000	  0.4325065610
  0.8882335371	  0.0000000000	  0.0000000000	  0.0000000000	  0.4571785425
  0.8952830097	  0.0000000000	  0.0000000000	  0.0000000000	  0.4809537400
  0.9023324822	  0.2642299517	  0.0000000000	  0.0000000000	  0.5037855171
  0.9093819547	  0.5689768119	  0.0000000000	  0.0000000000	  0.5256290878
  0.9164314272	  0.7664753337	  0.0000000000	  0.0000000000	  0.5464416046
  0.9234808997	  0.8242368985	  0.0000000000	  0.0000000000	  0.5661822425
  0.9305303722	  0.7349471104	  0.3432890084	  0.0000000000	  0.5848122790
  0.9375798448	  0.5175151681	  0.6077981400	  0.0000000000	  0.6022951701
  0.9446293173	  0.2134340139	  0.7561640966	  0.0000000000	  0.6185966220
  0.9516787898	  0.0000000000	  0.7640885320	  0.0000000000	  0.6336846585
  0.9587282623	  0.0000000000	  0.6329273122	  0.0000000000	  0.6475296834
  0.9657777348	  0.0000000000	  0.3891913759	  0.0000000000	  0.6601045389
  0.9728272073	  0.0000000000	  0.0000000000	  0.0000000000	  0.6713845587
  0.9798766799	  0.0000000000	  0.0000000000	  0.0000000000	  0.6813476161
  0.9869261524	  0.0000000000	  0.0000000000	  0.0000000000	  0.6899741682
  0.9939756249	  0.0000000000	  0.0000000000	  0.0000000000	  0.6972472933
  1.0010250974	  0.0000000000	  0.0000000000	  0.0000000000	  0.7031527249
  1.0080745699	  0.3562814399	  0.0000000000	  0.0000000000	  0.7076788790
  1.0151240424	  0.5813486580	  0.0000000000	  0.0000000000	  0.7108168773
  1.0221735150	  0.6934036651	  0.0000000000	  0.0000000000	  0.7125605644
  1.0292229875	  0.6715924499	  0.2018114835	  0.0000000000	  0.7129065200
  1.0362724600	  0.5201314645	  0.4719396668	  0.0000000000	  0.7118540655
  1.0433219325	  0.2675178314	  0.6520570369	  0.0000000000	  0.7094052653
  1.0503714050	  0.0000000000	  0.7075857430	  0.0000000000	  0.7055649229
  1.0574208776	  0.0000000000	  0.6271525947	  0.0000000000	  0.7003405713
  1.0644703501	  0.0000000000	  0.4247768387	  0.0000000000	  0.6937424585
  1.0715198226	  0.0000000000	  0.1373843543	  0.0000000000	  0.6857835271
  1.0785692951	  0.0000000000	  0.0000000000	  0.0000000000	  0.6764793889
  1.0856187676	  0.0000000000	  0.0000000000	  0.0000000000	  0.6658482947
  1.0926682401	  0.0000000000	  0.0000000000	  0.0000000000	  0.6539110980
  1.0997177127	  0.0000000000	  0.0000000000	  0.0000000000	  0.6406912142
  1.1067671852	  0.3183097812	  0.0000000000	  0.0000000000	  0.6262145752
  1.1138166577	  0.5958946782	  0.0000000000	  0.0000000000	  0.6105095775
  1.1208661302	  0.7712031919	  0.0000000000	  0.0000000000	  0.5936070277
  1.1279156027	  0.8100192213	  0.1123497941	  0.0000000000	  0.5755400811
  1.1349650752	  0.7023924627	  0.4439887217	  0.0000000000	  0.5563441770
  1.1420145478	  0.4646853125	  0.7047769049	  0.0000000000	  0.5360569696
  1.1490640203	  0.1368971102	  0.8463594396	  0.0000000000	  0.5147182533
  1.1561134928	  0.0000000000	  0.8409971536	  0.0000000000	  0.4923698854
  1.1631629653	  0.0000000000	  0.6867105670	  0.0000000000	  0.4690557035
  1.1702124378	  0.0000000000	  0.4078631580	  0.0000000000	  0.4448214400
  1.1772619103	  0.0000000000	  0.0000000000	  0.0000000000	  0.4197146317
  1.1843113829	  0.0000000000	  0.0000000000	  0.0000000000	  0.3937845273
  1.1913608554	  0.0000000000	  0.0000000000	  0.0000000000	  0.3670819903
  1.1984103279	  0.0000000000	  0.0000000000	  0.0000000000	  0.3396593992
  1.2054598004	  0.0000000000	  0.0000000000	  0.0000000000	  0.3115705453
  1.2125092729	  0.4049523790	  0.0000000000	  0.0000000000	  0.2828705266
  1.2195587454	  0.7234182388	  0.0000000000	  0.0000000000	  0.2536156398
  1.2266082180	  0.9257305672	  0.0000000000	  0.0000000000	  0.2238632704
  1.2336576905	  0.9772095345	  0.0000000000	  0.0000000000	  0.1936717793
  1.2407071630	  0.8684547341	  0.4681715902	  0.0000000000	  0.1631003890
  1.2477566355	  0.6168400237	  0.7759053729	  0.0000000000	  0.1322090673
  1.2548061080	  0.2634543676	  0.9593638486	  0.0000000000	  0.1010584093
  1.2618555805	  0.0000000000	  0.9885356435	  0.0000000000	  0.0000000000
  1.2689050531	  0.0000000000	  0.8589527501	  0.0000000000	  0.0000000000
  1.2759545256	  0.0000000000	  0.5921586107	  0.0000000000	  0.0000000000
  1.2830039981	  0.0000000000	  0.2318322495	  0.0000000000	  0.0000000000
  1.2900534706	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.2971029431	  0.0000000000	  0.0000000000	  0.0878493276	  0.0000000000
  1.3041524156	  0.0000000000	  0.0000000000	  0.1190911200	  0.0000000000
  1.3112018882	  0.0000000000	  0.0000000000	  0.1500993079	  0.0000000000
  1.3182513607	  0.1749704507	  0.0000000000	  0.1808130667	  0.0000000000
  1.3253008332	  0.5295360957	  0.0000000000	  0.2111721495	  0.0000000000
  1.3323503057	  0.7978593058	  0.0000000000	  0.2411170051	  0.0000000000
  1.3393997782	  0.9406968999	  0.0000000000	  0.2705888949	  0.0000000000
  1.3464492507	  0.9393193885	  0.1672150137	  0.2995300078	  0.0000000000
  1.3534987233	  0.7977160970	  0.5061041300	  0.3278835741	  0.0000000000
  1.3605481958	  0.5411247818	  0.7620609519	  0.3555939765	  0.0000000000
  1.3675976683	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.3746471408	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.3816966133	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.3887460859	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.3957955584	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4028450309	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4098945034	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4169439759	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4239934484	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4310429210	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4380923935	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4451418660	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4521913385	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4592408110	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4662902835	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4733397561	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4803892286	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4874387011	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.4944881736	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5015376461	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5085871186	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5156365912	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5226860637	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5297355362	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5367850087	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5438344812	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5508839537	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5579334263	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5649828988	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5720323713	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5790818438	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5861313163	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.5931807888	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6002302614	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6072797339	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6143292064	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6213786789	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6284281514	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6354776239	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6425270965	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6495765690	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6566260415	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6636755140	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6707249865	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6777744590	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6848239316	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.6918734041	  0.8001947605	  0.0000000000	  0.3651117984	  0.0000000000
  1.6989228766	  0.9308609336	  0.0000000000	  0.3376389354	  0.0000000000
  1.7059723491	  0.9236720276	  0.2259145858	  0.3095037728	  0.0000000000
  1.7130218216	  0.7756237438	  0.5653147693	  0.2807614995	  0.0000000000
  1.7200712941	  0.5057812945	  0.8251962664	  0.2514684952	  0.0000000000
  1.7271207667	  0.1530953114	  0.9630258662	  0.2216822199	  0.0000000000
  1.7341702392	  0.0000000000	  0.9543762688	  0.1914611012	  0.0000000000
  1.7412197117	  0.0000000000	  0.7975086980	  0.1608644198	  0.0000000000
  1.7482691842	  0.0000000000	  0.5143779647	  0.1299521929	  0.0000000000
  1.7553186567	  0.0000000000	  0.1477434550	  0.0987850568	  0.0000000000
  1.7623681293	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.7694176018	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.7764670743	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.7835165468	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  1.7905660193	  0.2730366230	  0.0000000000	  0.0000000000	  0.0000000000
  1.7976154918	  0.6257415606	  0.0000000000	  0.0000000000	  0.0901273866
  1.8046649644	  0.8766934274	  0.0000000000	  0.0000000000	  0.1213542553
  1.8117144369	  0.9848614507	  0.0000000000	  0.0000000000	  0.1523430802
  1.8187639094	  0.9327083595	  0.3107314109	  0.0000000000	  0.1830330747
  1.8258133819	  0.7293196076	  0.6500528418	  0.0000000000	  0.2133640385
  1.8328628544	  0.4090280802	  0.8794956430	  0.0000000000	  0.2432764756
  1.8399123269	  0.0000000000	  0.9617521637	  0.0000000000	  0.2727117108
  1.8469617995	  0.0000000000	  0.8843536110	  0.0000000000	  0.3016120053
  1.8540112720	  0.0000000000	  0.6618188722	  0.0000000000	  0.3299206691
  1.8610607445	  0.0000000000	  0.3331635646	  0.0000000000	  0.3575821732
  1.8681102170	  0.0000000000	  0.0000000000	  0.0000000000	  0.3845422578
  1.8751596895	  0.0000000000	  0.0000000000	  0.0000000000	  0.4107480391
  1.8822091620	  0.0000000000	  0.0000000000	  0.0000000000	  0.4361481127
  1.8892586346	  0.0000000000	  0.0000000000	  0.0000000000	  0.4606926548
  1.8963081071	  0.1262777366	  0.0000000000	  0.0000000000	  0.4843335199
  1.9033575796	  0.4616833401	  0.0000000000	  0.0000000000	  0.5070243349
  1.9104070521	  0.7083337738	  0.0000000000	  0.0000000000	  0.5287205904
  1.9174565246	  0.8249095614	  0.0000000000	  0.0000000000	  0.5493797278
  1.9245059971	  0.7935819931	  0.2156635038	  0.0000000000	  0.5689612230
  1.9315554697	  0.6229436377	  0.5165957188	  0.0000000000	  0.5874266656
  1.9386049422	  0.3462163773	  0.7172335411	  0.0000000000	  0.6047398346
  1.9456544147	  0.0000000000	  0.7837712305	  0.0000000000	  0.6208667691
  1.9527038872	  0.0000000000	  0.7069637983	  0.0000000000	  0.6357758351
  1.9597533597	  0.0000000000	  0.5035419603	  0.0000000000	  0.6494377875
  1.9668028322	  0.0000000000	  0.2129345083	  0.0000000000	  0.6618258276
  1.9738523048	  0.0000000000	  0.0000000000	  0.0000000000	  0.6729156556
  1.9809017773	  0.0000000000	  0.0000000000	  0.0000000000	  0.6826855179
  1.9879512498	  0.0000000000	  0.0000000000	  0.0000000000	  0.6911162505
  1.9950007223	  0.0000000000	  0.0000000000	  0.0000000000	  0.6981913159
  2.0020501948	  0.2385652567	  0.0000000000	  0.0000000000	  0.7038968360
  2.0090996673	  0.4996477872	  0.0000000000	  0.0000000000	  0.7082216189
  2.0161491399	  0.6627666201	  0.0000000000	  0.0000000000	  0.7111571815
  2.0231986124	  0.6976248481	  0.0000000000	  0.0000000000	  0.7126977653
  2.0302480849	  0.5979743384	  0.3664496257	  0.0000000000	  0.7128403485
  2.0372975574	  0.3827412975	  0.5891997820	  0.0000000000	  0.7115846514
  2.0443470299	  0.0925119795	  0.6991819083	  0.0000000000	  0.7089331371
  2.0513965024	  0.0000000000	  0.6749926262	  0.0000000000	  0.7048910066
  2.0584459750	  0.0000000000	  0.5202737171	  0.0000000000	  0.6994661890
  2.0654954475	  0.0000000000	  0.2631242277	  0.0000000000	  0.6926693252
  2.0725449200	  0.0000000000	  0.0000000000	  0.0000000000	  0.6845137479
  2.0795943925	  0.0000000000	  0.0000000000	  0.0000000000	  0.6750154545
  2.0866438650	  0.0000000000	  0.0000000000	  0.0000000000	  0.6641930767
  2.0936933376	  0.0000000000	  0.0000000000	  0.0000000000	  0.6520678432
  2.1007428101	  0.1858262199	  0.0000000000	  0.0000000000	  0.6386635384
  2.1077922826	  0.4892377397	  0.0000000000	  0.0000000000	  0.6240064556
  2.1148417551	  0.7101160635	  0.0000000000	  0.0000000000	  0.6081253456
  2.1218912276	  0.8061588559	  0.0000000000	  0.0000000000	  0.5910513603
  2.1289407001	  0.7571866963	  0.3139233279	  0.0000000000	  0.5728179912
  2.1359901727	  0.5690274127	  0.6081847747	  0.0000000000	  0.5534610043
  2.1430396452	  0.2727316439	  0.8009424874	  0.0000000000	  0.5330183695
  2.1500891177	  0.0000000000	  0.8554622904	  0.0000000000	  0.5115301863
  2.1571385902	  0.0000000000	  0.7591856828	  0.0000000000	  0.4890386050
  2.1641880627	  0.0000000000	  0.5261968523	  0.0000000000	  0.4655877443
  2.1712375352	  0.0000000000	  0.1949604842	  0.0000000000	  0.4412236046
  2.1782870078	  0.0000000000	  0.0000000000	  0.0000000000	  0.4159939775
  2.1853364803	  0.0000000000	  0.0000000000	  0.0000000000	  0.3899483525
  2.1923859528	  0.0000000000	  0.0000000000	  0.0000000000	  0.3631378198
  2.1994354253	  0.0000000000	  0.0000000000	  0.0000000000	  0.3356149698
  2.2064848978	  0.2617036563	  0.0000000000	  0.0000000000	  0.3074337904
  2.2135343703	  0.6102695317	  0.0000000000	  0.0000000000	  0.2786495606
  2.2205838429	  0.8619157953	  0.0000000000	  0.0000000000	  0.2493187425
  2.2276333154	  0.9735080813	  0.0000000000	  0.0000000000	  0.2194988703
  2.2346827879	  0.9254134308	  0.3283215056	  0.0000000000	  0.1892484375
  2.2417322604	  0.7247736041	  0.6704780136	  0.0000000000	  0.1586267823
  2.2487817329	  0.4041975186	  0.9057144229	  0.0000000000	  0.1276939708
  2.2558312054	  0.0000000000	  0.9952009546	  0.0000000000	  0.0965106797
  2.2628806780	  0.0000000000	  0.9243407849	  0.0000000000	  0.0000000000
  2.2699301505	  0.0000000000	  0.7049774106	  0.0000000000	  0.0000000000
  2.2769796230	  0.0000000000	  0.3731467782	  0.0000000000	  0.0000000000
  2.2840290955	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.2910785680	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.2981280405	  0.0000000000	  0.0000000000	  0.0924045109	  0.0000000000
  2.3051775131	  0.0000000000	  0.0000000000	  0.1236161320	  0.0000000000
  2.3122269856	  0.0000000000	  0.0000000000	  0.1545852725	  0.0000000000
  2.3192764581	  0.4090582306	  0.0000000000	  0.1852511843	  0.0000000000
