0	12.28	0
0	12	3.999
0.25	11.995	4
0.5	12.04	3.982
0.75	12.035	3.985
1	12.035	3.985
1.25	12.035	3.985
1.5	12.03	3.986
1.75	12.03	3.986
2	12.03	3.986
2.25	12.025	3.988
2.5	12.025	3.988
2.75	12.025	3.988
3	12.025	3.988
3.25	12.02	3.991
3.5	12.02	3.991
3.75	12.02	3.991
4	12.02	3.991
4.25	12.015	3.991
4.5	12.015	3.992
4.75	12.015	3.992
5	12.015	3.992
5.25	12.015	3.992
5.5	12.015	3.992
5.75	12.01	3.994
6	12.01	3.994
6.25	12.01	3.994
6.5	12.01	3.995
6.75	12.01	3.994
7	12.01	3.995
7.25	12.005	3.996
7.5	12.005	3.996
7.75	12.005	3.996
8	12.005	3.996
8.25	12.005	3.996
8.5	12.005	3.996
8.75	12	4
9	12	3.999
9.25	12	4
9.5	12	4
9.75	12	4
10	12	4
10.25	12	4
10.5	11.995	4
10.75	11.995	4
11	11.995	4
11.25	11.995	4
11.5	11.995	3.999
11.75	11.995	4
12	11.995	4
12.25	11.995	4
12.5	11.995	3.999
12.75	11.99	4
13	11.99	4
13.25	11.99	4
13.5	11.99	3.999
13.75	11.99	4
14	11.99	4
14.25	11.99	3.999
14.5	11.99	4
14.75	11.99	4
15	11.985	4
15.25	11.985	4
15.5	11.985	4
15.75	11.985	4
16	11.985	3.999
16.25	11.985	4
16.5	11.985	4
16.75	11.985	3.999
17	11.985	4
17.25	11.985	3.999
17.5	11.98	4
17.75	11.98	4
18	11.98	3.999
18.25	11.98	4
18.5	11.98	4
18.75	11.98	3.999
19	11.98	3.999
19.25	11.98	3.999
19.5	11.98	3.999
19.75	11.98	4
20	11.98	4
20.25	11.975	4
20.5	11.975	4
20.75	11.975	4
21	11.975	3.999
21.25	11.975	4
21.5	11.975	3.999
21.75	11.975	3.999
22	11.975	3.999
22.25	11.975	3.999
22.5	11.975	4
22.75	11.975	4
23	11.975	3.999
23.25	11.975	4
23.5	11.975	3.999
23.75	11.97	4
24	11.97	4
24.25	11.97	3.999
24.5	11.97	4
24.75	11.97	4
25	11.97	3.999
25.25	11.97	4
25.5	11.97	4
25.75	11.97	3.999
26	11.97	3.999
26.25	11.97	4
26.5	11.97	3.999
26.75	11.97	4
27	11.965	3.999
27.25	11.965	4
27.5	11.965	3.999
27.75	11.965	3.999
28	11.965	4
28.25	11.965	3.999
28.5	11.965	4
28.75	11.965	3.999
29	11.965	3.999
29.25	11.965	3.999
29.5	11.965	3.999
29.75	11.965	4
30	11.965	3.999
30.25	11.965	4
30.5	11.965	3.999
30.75	11.96	3.999
31	11.96	4
31.25	11.96	4
31.5	11.96	3.999
31.75	11.96	3.999
32	11.96	4
32.25	11.96	3.999
32.5	11.96	3.999
32.75	11.96	3.999
33	11.96	3.999
33.25	11.96	3.999
33.5	11.96	3.999
33.75	11.96	3.999
34	11.96	3.999
34.25	11.96	3.999
34.5	11.96	3.999
34.75	11.96	3.999
35	11.955	3.999
35.25	11.955	3.999
35.5	11.955	4
35.75	11.955	3.999
36	11.955	3.999
36.25	11.955	3.999
36.5	11.955	4
36.75	11.955	4
37	11.955	3.999
37.25	11.955	3.999
37.5	11.955	3.999
37.75	11.955	3.999
38	11.955	3.999
38.25	11.955	3.999
38.5	11.955	3.999
38.75	11.955	3.999
39	11.955	3.999
39.25	11.95	3.999
39.5	11.95	3.999
39.75	11.95	4
40	11.95	3.999
40.25	11.95	3.999
40.5	11.95	3.999
40.75	11.95	3.999
41	11.95	3.999
41.25	11.95	3.999
41.5	11.95	4
41.75	11.95	3.999
42	11.95	3.999
42.25	11.95	4
42.5	11.95	3.999
42.75	11.95	3.999
43	11.95	4
43.25	11.945	3.999
43.5	11.945	3.999
43.75	11.945	3.999
44	11.945	3.999
44.25	11.945	3.999
44.5	11.945	3.999
44.75	11.945	3.999
45	11.945	3.999
45.25	11.945	3.999
45.5	11.945	3.999
45.75	11.945	3.999
46	11.945	3.999
