0	30	0	0.437	0.187	0	3.603
10	30	0	0.437	0.187	0	3.603
20	30	0	0.437	0.187	0	3.603
30	30	0	0.437	0.187	0	3.603
40	30	0	0.437	0.187	0	3.603
50	30	0	0.437	0.187	0	3.603
60	30	0	0.437	0.187	0	3.603
70	30	0	0.437	0.187	0	3.603
80	30	0	0.437	0.187	0	3.603
90	30	0	0.437	0.187	0	3.603
100	30	0	0.437	0.187	0	3.603
110	30	0	0.437	0.187	0	3.603
120	30	0	0.437	0.187	0	3.603
130	30	0	0.437	0.187	0	3.603
140	30	0	0.437	0.187	0	3.603
150	30	0	0.437	0.187	0	3.603
160	30	0	0.437	0.187	0	3.603
170	30	0	0.437	0.187	0	3.603
180	30	0	0.437	0.187	0	3.603
190	30	0	0.437	0.187	0	3.603
200	30	0	0.437	0.187	0	3.603
210	30	0	0.437	0.187	0	3.603
220	30	0	0.437	0.187	0	3.603
230	30	0	0.437	0.187	0	3.603
240	30	0	0.437	0.187	0	3.603
250	30	0	0.437	0.187	0	3.603
260	30	0	0.437	0.187	0	3.603
270	30	0	0.437	0.187	0	3.603
280	30	0	0.437	0.187	0	3.603
290	30	0	0.437	0.187	0	3.603
300	30	0	0.437	0.187	0	3.603
310	30	0	0.437	0.187	0	3.603
320	30	0	0.437	0.187	0	3.603
330	30	0	0.437	0.187	0	3.603
340	30	0	0.437	0.187	0	3.603
350	30	0	0.437	0.187	0	3.603
360	30	0	0.437	0.187	0	3.603
370	30	0	0.437	0.187	0	3.603
380	30	0	0.437	0.187	0	3.603
390	30	0	0.437	0.187	0	3.603
400	30	0	0.437	0.187	0	3.603
410	30	0	0.437	0.187	0	3.603
420	30	0	0.437	0.187	0	3.603
430	30	0	0.437	0.187	0	3.603
440	30	0	0.437	0.187	0	3.603
450	30	0	0.437	0.187	0	3.603
460	30	0	0.437	0.187	0	3.603
470	30	0	0.437	0.187	0	3.603
480	30	0	0.437	0.187	0	3.603
490	30	0	0.437	0.187	0	3.603
500	30	0	0.437	0.187	0	3.603
510	30	0	0.437	0.187	0	3.603
520	30	0	0.437	0.187	0	3.603
530	30	0	0.437	0.187	0	3.603
540	30	0	0.437	0.187	0	3.603
550	30	0	0.437	0.187	0	3.603
560	30	0	0.437	0.187	0	3.603
