#iout	eta	eta_sim
  0.00000000000000	  0.00000000000000	  3.16546675245581
  0.10000000000000	 39.00000000000000	 33.79053925685083
  0.20000000000000	 55.00000000000001	 52.68608631324635
  0.30000000000000	 64.00000000000000	 64.34456315470422
  0.40000000000000	 70.00000000000000	 71.53779666401428
  0.50000000000000	 73.00000000000000	 75.97599292439222
  0.60000000000000	 76.00000000000000	 78.71434223838830
  0.70000000000000	 77.00000000000000	 80.40389279576364
  0.80000000000000	 79.00000000000000	 81.44633872161290
  0.90000000000000	 80.00000000000000	 82.08952368200137
  1.00000000000000	 81.00000000000000	 82.48636622607181
  1.10000000000000	 82.00000000000000	 82.73121648607973
  1.20000000000000	 82.00000000000000	 82.88228811567625
  1.30000000000000	 83.00000000000000	 82.97549870597013
  1.40000000000000	 84.00000000000000	 83.03300926679572
  1.50000000000000	 84.00000000000000	 83.06849305244761
  1.60000000000000	 84.00000000000000	 83.09038640605284
  1.70000000000000	 84.00000000000000	 83.10389451752623
  1.80000000000000	 84.00000000000000	 83.11222896819413
  1.90000000000000	 84.00000000000000	 83.11737129086981
  2.00000000000000	 84.00000000000000	 83.12054408336145
  2.10000000000000	 84.00000000000000	 83.12250168361913
  2.20000000000000	 84.00000000000000	 83.12370951513630
  2.30000000000000	 84.00000000000000	 83.12445474234403
  2.40000000000000	 84.00000000000000	 83.12491454454594
  2.50000000000000	 84.00000000000000	 83.12519824066264
  2.60000000000000	 84.00000000000000	 83.12537328003020
  2.70000000000000	 84.00000000000000	 83.12548127861881
  2.80000000000000	 84.00000000000000	 83.12554791331536
  2.90000000000000	 84.00000000000000	 83.12558902665620
